1.035	2.52E-13
1.059	6.91E-13
1.072	2.63E-13
1.38	4.11E-15
1.413	4.75E-15
1.567	5.45E-16
2.6	7.9E-20
2.661	7.42E-20
2.818	6.38E-20
2.985	5.5E-20
3.02	5.34E-20
3.548	3.54E-20
3.715	3.15E-20
3.758	3.06E-20
4.027	2.57E-20
4.217	2.29E-20
4.365	2.1E-20
4.416	2.04E-20
4.786	1.67E-20
5.07	1.45E-20
5.129	1.41E-20
5.433	1.23E-20
5.689	1.11E-20
5.821	1.06E-20
5.957	1.02E-20
6.383	1.13E-20
6.761	2.62E-20
6.839	1.45E-20
6.918	1.08E-20
7.499	5.91E-21
7.762	5.27E-21
11.48	1.92E-21
12.3	1.62E-21
13.34	1.33E-21
19.05	5.61E-22
19.5	5.31E-22
22.39	3.83E-22
22.91	3.63E-22
23.44	3.44E-22
24.83	3.01E-22
26.61	2.57E-22
27.23	2.44E-22
28.51	2.2E-22
30.55	1.89E-22
33.11	1.59E-22
39.81	1.1E-22
41.69	1.01E-22
45.71	8.61E-23
47.32	8.14E-23
49.55	7.58E-23
61.66	5.71E-23
62.37	5.64E-23
66.83	5.26E-23
73.28	4.85E-23
78.52	4.6E-23
83.18	4.42E-23
104.7	3.89E-23
105.9	3.87E-23
109.6	3.81E-23
117.5	3.7E-23
121.6	3.65E-23
136.5	3.5E-23
141.3	3.46E-23
147.9	3.41E-23
160.3	3.33E-23
177.8	3.24E-23
192.8	3.18E-23
201.8	3.15E-23
229.1	3.08E-23
239.9	3.06E-23
285.1	3.01E-23
346.7	3.01E-23
398.1	3.05E-23
549.5	3.31E-23
616.6	3.47E-23
749.9	3.84E-23
881	4.25E-23
1035	4.77E-23
1084	4.94E-23
1109	5.03E-23
1259	5.57E-23
1365	5.96E-23
1413	6.14E-23
1479	6.39E-23
1514	6.52E-23
1950	8.2E-23
2042	8.56E-23
2344	9.75E-23
2483	1.03E-22
2786	1.15E-22
2884	1.19E-22
2985	1.23E-22
