%bin  freq(Hz)  sens (h/sqrt(Hz)

512  51.2499  8.691e-23
518  51.8499  8.575e-23
524  52.4499  8.463e-23
530  53.0499  8.354e-23
537  53.7499  8.248e-23
543  54.3499  8.146e-23
549  54.9499  8.047e-23
555  55.5499  7.951e-23
562  56.2499  7.858e-23
568  56.8499  7.768e-23
575  57.5499  7.681e-23
582  58.2499  7.596e-23
588  58.8499  7.515e-23
595  59.5499  7.435e-23
602  60.2499  7.358e-23
609  60.9499  7.283e-23
616  61.6499  7.211e-23
623  62.3499  7.14e-23
631  63.1499  7.072e-23
638  63.8499  7.006e-23
645  64.5499  6.942e-23
653  65.3499  6.879e-23
660  66.0499  6.818e-23
668  66.8499  6.76e-23
676  67.6499  6.702e-23
683  68.3499  6.647e-23
691  69.1499  6.593e-23
699  69.9499  6.54e-23
707  70.7499  6.489e-23
716  71.6499  6.44e-23
724  72.4499  6.391e-23
732  73.2499  6.344e-23
741  74.1499  6.298e-23
749  74.9499  6.254e-23
758  75.8499  6.21e-23
767  76.7499  6.168e-23
776  77.6499  6.127e-23
785  78.5499  6.087e-23
794  79.4499  6.048e-23
803  80.3499  6.009e-23
812  81.2499  5.972e-23
822  82.2499  5.936e-23
831  83.1499  5.9e-23
841  84.1499  5.866e-23
851  85.1499  5.832e-23
861  86.1499  5.799e-23
871  87.1499  5.766e-23
881  88.1499  5.735e-23
891  89.1499  5.704e-23
901  90.1499  5.674e-23
912  91.2499  5.644e-23
922  92.2499  5.615e-23
933  93.3499  5.587e-23
944  94.4499  5.559e-23
955  95.5499  5.532e-23
966  96.6499  5.506e-23
977  97.7499  5.48e-23
988  98.8499  5.454e-23
1000  100.05  5.429e-23
1012  101.25  5.405e-23
1023  102.35  5.381e-23
1035  103.55  5.358e-23
1047  104.75  5.335e-23
1059  105.95  5.312e-23
1072  107.25  5.29e-23
1084  108.45  5.268e-23
1096  109.65  5.247e-23
1109  110.95  5.226e-23
1122  112.25  5.205e-23
1135  113.55  5.185e-23
1148  114.85  5.165e-23
1161  116.15  5.146e-23
1175  117.55  5.127e-23
1189  118.95  5.108e-23
1202  120.25  5.089e-23
1216  121.65  5.071e-23
1230  123.05  5.053e-23
1245  124.55  5.036e-23
1259  125.95  5.019e-23
