freq	hVirgo50W
2,344	1,234E-19
2,371	1,134E-19
2,399	1,057E-19
2,427	9,972E-20
2,455	9,492E-20
2,483	9,097E-20
2,512	8,752E-20
2,541	8,444E-20
2,57	8,162E-20
2,6	7,9E-20
2,63	7,654E-20
2,661	7,42E-20
2,692	7,196E-20
2,723	6,981E-20
2,754	6,773E-20
2,786	6,573E-20
2,818	6,38E-20
2,851	6,192E-20
2,884	6,011E-20
2,917	5,835E-20
2,951	5,665E-20
2,985	5,5E-20
3,02	5,34E-20
3,055	5,184E-20
3,09	5,034E-20
3,126	4,887E-20
3,162	4,746E-20
3,199	4,608E-20
3,236	4,475E-20
3,273	4,345E-20
3,311	4,219E-20
3,35	4,097E-20
3,388	3,979E-20
3,428	3,864E-20
3,467	3,753E-20
3,508	3,645E-20
3,548	3,54E-20
3,589	3,438E-20
3,631	3,339E-20
3,673	3,243E-20
3,715	3,15E-20
3,758	3,06E-20
3,802	2,972E-20
3,846	2,887E-20
3,89	2,804E-20
3,936	2,724E-20
3,981	2,646E-20
4,027	2,57E-20
4,074	2,497E-20
4,121	2,426E-20
4,169	2,357E-20
4,217	2,29E-20
4,266	2,224E-20
4,315	2,161E-20
4,365	2,1E-20
4,416	2,04E-20
4,467	1,982E-20
4,519	1,926E-20
4,571	1,872E-20
4,624	1,819E-20
4,677	1,768E-20
4,732	1,718E-20
4,786	1,67E-20
4,842	1,623E-20
4,898	1,578E-20
4,955	1,534E-20
5,012	1,491E-20
5,07	1,45E-20
5,129	1,41E-20
5,188	1,371E-20
5,248	1,334E-20
5,309	1,298E-20
5,37	1,263E-20
5,433	1,23E-20
5,495	1,197E-20
5,559	1,167E-20
5,623	1,137E-20
5,689	1,11E-20
5,754	1,084E-20
5,821	1,06E-20
5,888	1,039E-20
5,957	1,02E-20
6,026	1,006E-20
6,095	9,977E-21
6,166	9,976E-21
6,237	1,011E-20
6,31	1,048E-20
6,383	1,13E-20
6,457	1,314E-20
6,531	1,787E-20
6,607	2,964E-19
6,683	2,994E-19
6,761	2,62E-20
6,839	1,45E-20
6,918	1,08E-20
6,998	9,042E-21
7,079	8,025E-21
7,161	7,354E-21
7,244	6,867E-21
7,328	6,488E-21
7,413	6,176E-21
7,499	5,91E-21
7,586	5,675E-21
7,674	5,464E-21
7,762	5,27E-21
7,852	5,091E-21
7,943	4,922E-21
8,035	4,764E-21
8,128	4,614E-21
8,222	4,471E-21
8,318	4,334E-21
8,414	4,203E-21
8,511	4,077E-21
8,61	3,956E-21
8,71	3,839E-21
8,81	3,726E-21
8,913	3,618E-21
9,016	3,512E-21
9,12	3,411E-21
9,226	3,312E-21
9,333	3,217E-21
9,441	3,125E-21
9,55	3,036E-21
9,661	2,949E-21
9,772	2,865E-21
9,886	2,784E-21
10	2,705E-21
10,12	2,628E-21
10,23	2,554E-21
10,35	2,482E-21
10,47	2,411E-21
10,59	2,344E-21
10,72	2,278E-21
10,84	2,213E-21
10,96	2,151E-21
11,09	2,091E-21
11,22	2,032E-21
11,35	1,975E-21
11,48	1,92E-21
11,61	1,866E-21
11,75	1,814E-21
11,89	1,763E-21
12,02	1,714E-21
12,16	1,666E-21
12,3	1,62E-21
12,45	1,575E-21
12,59	1,531E-21
12,74	1,488E-21
12,88	1,447E-21
13,03	1,407E-21
13,18	1,368E-21
13,34	1,33E-21
13,49	1,293E-21
13,65	1,257E-21
13,8	1,222E-21
13,96	1,188E-21
14,13	1,155E-21
14,29	1,123E-21
14,45	1,092E-21
14,62	1,062E-21
14,79	1,033E-21
14,96	1,004E-21
15,14	9,768E-22
15,31	9,499E-22
15,49	9,237E-22
15,67	8,983E-22
15,85	8,736E-22
16,03	8,496E-22
16,22	8,263E-22
16,41	8,036E-22
16,6	7,816E-22
16,79	7,602E-22
16,98	7,394E-22
17,18	7,192E-22
17,38	6,995E-22
17,58	6,804E-22
17,78	6,619E-22
17,99	6,438E-22
18,2	6,263E-22
18,41	6,093E-22
18,62	5,927E-22
18,84	5,766E-22
19,05	5,61E-22
19,28	5,458E-22
19,5	5,31E-22
19,72	5,166E-22
19,95	5,027E-22
20,18	4,891E-22
20,42	4,759E-22
20,65	4,631E-22
20,89	4,507E-22
21,13	4,386E-22
21,38	4,268E-22
21,63	4,154E-22
21,88	4,043E-22
22,13	3,935E-22
22,39	3,83E-22
22,65	3,729E-22
22,91	3,63E-22
23,17	3,533E-22
23,44	3,44E-22
23,71	3,349E-22
23,99	3,261E-22
24,27	3,175E-22
24,55	3,091E-22
24,83	3,01E-22
25,12	2,932E-22
25,41	2,855E-22
25,7	2,781E-22
26	2,709E-22
26,3	2,639E-22
26,61	2,57E-22
26,92	2,504E-22
27,23	2,44E-22
27,54	2,377E-22
27,86	2,317E-22
28,18	2,258E-22
28,51	2,2E-22
28,84	2,145E-22
29,17	2,091E-22
29,51	2,038E-22
29,85	1,987E-22
30,2	1,938E-22
30,55	1,89E-22
30,9	1,843E-22
31,26	1,798E-22
31,62	1,754E-22
31,99	1,711E-22
32,36	1,669E-22
32,73	1,629E-22
33,11	1,59E-22
33,5	1,552E-22
33,88	1,515E-22
34,28	1,479E-22
34,67	1,444E-22
35,08	1,411E-22
35,48	1,378E-22
35,89	1,346E-22
36,31	1,315E-22
36,73	1,285E-22
37,15	1,256E-22
37,58	1,228E-22
38,02	1,201E-22
38,46	1,174E-22
38,9	1,149E-22
39,36	1,124E-22
39,81	1,1E-22
40,27	1,076E-22
40,74	1,053E-22
41,21	1,031E-22
41,69	1,01E-22
42,17	9,893E-23
42,66	9,692E-23
43,15	9,497E-23
43,65	9,308E-23
44,16	9,125E-23
44,67	8,948E-23
45,19	8,776E-23
45,71	8,61E-23
46,24	8,448E-23
46,77	8,292E-23
47,32	8,14E-23
47,86	7,994E-23
48,42	7,851E-23
48,98	7,714E-23
49,55	7,58E-23
50,12	7,451E-23
50,7	7,326E-23
51,29	7,205E-23
51,88	7,087E-23
52,48	6,974E-23
53,09	6,863E-23
53,7	6,757E-23
54,33	6,653E-23
54,95	6,553E-23
55,59	6,456E-23
56,23	6,363E-23
56,89	6,272E-23
57,54	6,184E-23
58,21	6,098E-23
58,88	6,016E-23
59,57	5,936E-23
60,26	5,858E-23
60,95	5,783E-23
61,66	5,71E-23
62,37	5,64E-23
63,1	5,571E-23
63,83	5,505E-23
64,57	5,441E-23
65,31	5,379E-23
66,07	5,318E-23
66,83	5,26E-23
67,61	5,203E-23
68,39	5,148E-23
69,18	5,095E-23
69,98	5,043E-23
70,79	4,992E-23
71,61	4,943E-23
72,44	4,896E-23
73,28	4,85E-23
74,13	4,805E-23
74,99	4,762E-23
75,86	4,719E-23
76,74	4,678E-23
77,62	4,638E-23
78,52	4,6E-23
79,43	4,562E-23
80,35	4,525E-23
81,28	4,489E-23
82,22	4,454E-23
83,18	4,42E-23
84,14	4,387E-23
85,11	4,355E-23
86,1	4,324E-23
87,1	4,293E-23
88,1	4,263E-23
89,13	4,234E-23
90,16	4,206E-23
91,2	4,178E-23
92,26	4,151E-23
93,33	4,124E-23
94,41	4,099E-23
95,5	4,073E-23
96,61	4,049E-23
97,72	4,025E-23
98,86	4,001E-23
100	3,978E-23
101,2	3,955E-23
102,3	3,933E-23
103,5	3,912E-23
104,7	3,89E-23
105,9	3,87E-23
107,2	3,849E-23
108,4	3,829E-23
109,6	3,81E-23
110,9	3,791E-23
112,2	3,772E-23
113,5	3,753E-23
114,8	3,735E-23
116,1	3,718E-23
117,5	3,7E-23
118,9	3,683E-23
120,2	3,666E-23
121,6	3,65E-23
123	3,634E-23
124,5	3,618E-23
125,9	3,602E-23
127,4	3,587E-23
128,8	3,572E-23
130,3	3,557E-23
131,8	3,543E-23
133,4	3,528E-23
134,9	3,514E-23
136,5	3,5E-23
138	3,487E-23
139,6	3,473E-23
141,3	3,46E-23
142,9	3,447E-23
144,5	3,435E-23
146,2	3,422E-23
147,9	3,41E-23
149,6	3,398E-23
151,4	3,386E-23
153,1	3,374E-23
154,9	3,363E-23
156,7	3,352E-23
158,5	3,341E-23
160,3	3,33E-23
162,2	3,319E-23
164,1	3,309E-23
166	3,298E-23
167,9	3,288E-23
169,8	3,278E-23
171,8	3,268E-23
173,8	3,259E-23
175,8	3,249E-23
177,8	3,24E-23
179,9	3,231E-23
182	3,222E-23
184,1	3,213E-23
186,2	3,205E-23
188,4	3,196E-23
190,5	3,188E-23
192,8	3,18E-23
195	3,172E-23
197,2	3,165E-23
199,5	3,157E-23
201,8	3,15E-23
204,2	3,142E-23
206,5	3,135E-23
208,9	3,129E-23
211,3	3,122E-23
213,8	3,115E-23
216,3	3,109E-23
218,8	3,103E-23
221,3	3,097E-23
223,9	3,091E-23
226,5	3,085E-23
229,1	3,08E-23
231,7	3,075E-23
234,4	3,069E-23
237,1	3,065E-23
239,9	3,06E-23
242,7	3,055E-23
245,5	3,051E-23
248,3	3,046E-23
251,2	3,042E-23
254,1	3,039E-23
257	3,035E-23
260	3,031E-23
263	3,028E-23
266,1	3,025E-23
269,2	3,022E-23
272,3	3,019E-23
275,4	3,017E-23
278,6	3,014E-23
281,8	3,012E-23
285,1	3,01E-23
288,4	3,009E-23
291,7	3,007E-23
295,1	3,006E-23
298,5	3,004E-23
302	3,004E-23
305,5	3,003E-23
309	3,002E-23
312,6	3,002E-23
316,2	3,002E-23
319,9	3,002E-23
323,6	3,002E-23
327,3	3,003E-23
331,1	3,004E-23
335	3,005E-23
338,8	3,006E-23
342,8	3,008E-23
346,7	3,01E-23
350,8	3,012E-23
354,8	3,014E-23
358,9	3,016E-23
363,1	3,019E-23
367,3	3,022E-23
371,5	3,025E-23
375,8	3,029E-23
380,2	3,033E-23
384,6	3,037E-23
