0.125	1.0478e-12
0.25	2.3024e-12
0.375	3.8977e-12
0.5	2.9318e-12
0.625	2.0985e-12
0.75	2.6228e-12
0.875	2.6909e-12
1	3.5232e-12
1.125	9.518e-12
1.25	1.0147e-11
1.375	3.3588e-12
1.5	2.1433e-12
1.625	1.728e-12
1.75	1.6617e-12
1.875	2.977e-12
2	4.1597e-12
2.125	2.9988e-12
2.25	2.7232e-12
2.375	1.6727e-12
2.5	8.2443e-13
2.625	6.0716e-13
2.75	1.8676e-13
2.875	1.6788e-13
3	1.2474e-13
3.125	1.0499e-13
3.25	2.0425e-13
3.375	1.8495e-13
3.5	1.2075e-13
3.625	8.5292e-14
3.75	7.4873e-14
3.875	9.0207e-14
4	1.1998e-13
4.125	7.4676e-14
4.25	4.5983e-14
4.375	4.5973e-14
4.5	3.1871e-14
4.625	3.2431e-14
4.75	2.5995e-14
4.875	3.4756e-14
5	2.0818e-14
5.125	1.8842e-14
5.25	2.3898e-14
5.375	3.6825e-14
5.5	8.9703e-14
5.625	1.9157e-13
5.75	2.407e-13
5.875	2.506e-13
6	2.4758e-13
6.125	2.9454e-13
6.25	3.3932e-13
6.375	2.9817e-13
6.5	2.5395e-13
6.625	1.4315e-13
6.75	7.5682e-14
6.875	5.3429e-14
7	4.6301e-14
7.125	3.8416e-14
7.25	3.4793e-14
7.375	2.8304e-14
7.5	2.1592e-14
7.625	1.6681e-14
7.75	9.867e-15
7.875	9.7337e-15
8	1.3473e-14
8.125	1.5847e-14
8.25	9.297e-15
8.375	8.9167e-15
8.5	8.6555e-15
8.625	6.8921e-15
8.75	6.8386e-15
8.875	8.9093e-15
9	7.4917e-15
9.125	5.0901e-15
9.25	3.1422e-15
9.375	4.155e-15
9.5	4.1392e-15
9.625	4.4335e-15
9.75	1.0002e-14
9.875	1.6189e-14
10	1.4377e-14
10.125	1.0785e-14
10.25	6.9924e-15
10.375	6.3315e-15
10.5	6.8402e-15
10.625	7.7778e-15
10.75	7.2292e-15
10.875	5.538e-15
11	3.7328e-15
11.125	2.5275e-15
11.25	2.9931e-15
11.375	2.8515e-15
11.5	3.9525e-15
11.625	7.6539e-15
11.75	1.0067e-14
11.875	7.6198e-15
12	1.4313e-14
12.125	7.2092e-15
12.25	2.0201e-15
12.375	1.8446e-15
12.5	1.4689e-15
12.625	9.8033e-16
12.75	7.9232e-16
12.875	8.3747e-16
13	9.818e-16
13.125	1.027e-15
13.25	1.2378e-15
13.375	1.463e-15
13.5	1.3285e-15
13.625	1.0639e-15
13.75	1.1388e-15
13.875	1.2755e-15
14	1.283e-15
14.125	1.1219e-15
14.25	8.7749e-16
14.375	9.0844e-16
14.5	1.0675e-15
14.625	9.422e-16
14.75	6.0304e-16
14.875	4.8299e-16
15	4.9487e-16
15.125	5.4064e-16
15.25	4.8981e-16
15.375	4.47e-16
15.5	4.9272e-16
15.625	4.7478e-16
15.75	3.7426e-16
15.875	4.2234e-16
16	3.6947e-16
16.125	3.0129e-16
16.25	2.6304e-16
16.375	3.6619e-16
16.5	3.6299e-16
16.625	4.3566e-16
16.75	6.1494e-16
16.875	6.1975e-16
17	4.3425e-16
17.125	6.2377e-16
17.25	2.1497e-15
17.375	2.1071e-15
